YEAR,DATE,PRICE
2013,2013-12-05,93
2013,2013-12-06,91
2013,2013-12-07,96
2013,2013-12-08,98
2013,2013-12-09,90
2013,2013-12-10,97
2013,2013-12-11,95
2013,2013-12-12,98
2013,2013-12-13,100
2013,2013-12-14,99
2013,2013-12-15,89
2013,2013-12-16,93
2013,2013-12-17,96
2013,2013-12-18,94
2013,2013-12-19,97
2013,2013-12-20,98
2013,2013-12-21,94
2013,2013-12-22,93
2013,2013-12-23,88
2013,2013-12-24,93
2013,2013-12-25,88
2013,2013-12-26,89
2013,2013-12-27,102
2013,2013-12-28,97
2013,2013-12-29,94
2013,2013-12-30,104
2013,2013-12-31,95
2014,2014-01-01,113
2014,2014-01-02,104
2014,2014-01-03,106
2014,2014-01-04,105
2014,2014-01-05,110
2014,2014-01-06,113
2014,2014-01-07,114
2014,2014-01-08,111
2014,2014-01-09,116
2014,2014-01-10,113
2014,2014-01-11,114
2014,2014-01-12,113
2014,2014-01-13,114
2014,2014-01-14,121
2014,2014-01-15,119
2014,2014-01-16,127
2014,2014-01-17,122
2014,2014-01-18,129
2014,2014-01-19,123
2014,2014-01-20,120
2014,2014-01-21,115
2014,2014-01-22,122
2014,2014-01-23,128
2014,2014-01-24,119
2014,2014-01-25,122
2014,2014-01-26,124
2014,2014-01-27,122
2014,2014-01-28,116
2014,2014-01-29,120
2014,2014-01-30,119
2014,2014-01-31,121
2014,2014-02-01,129
2014,2014-02-02,126
2014,2014-02-03,122
2014,2014-02-04,131
2014,2014-02-05,131
2014,2014-02-06,134
2014,2014-02-07,126
2014,2014-02-08,131
2014,2014-02-09,130
2014,2014-02-10,127
2014,2014-02-11,129
2014,2014-02-12,137
2014,2014-02-13,134
2014,2014-02-14,145
2014,2014-02-15,144
2014,2014-02-16,139
2014,2014-02-17,136
2014,2014-02-18,141
2014,2014-02-19,133
2014,2014-02-20,138
2014,2014-02-21,136
2014,2014-02-22,141
2014,2014-02-23,135
2014,2014-02-24,141
2014,2014-02-25,134
2014,2014-02-26,139
2014,2014-02-27,141
2014,2014-02-28,142
2014,2014-03-01,144
2014,2014-03-02,140
2014,2014-03-03,144
2014,2014-03-04,146
2014,2014-03-05,147
2014,2014-03-06,149
2014,2014-03-07,156
2014,2014-03-08,155
2014,2014-03-09,153
2014,2014-03-10,153
2014,2014-03-11,153
2014,2014-03-12,153
2014,2014-03-13,155
2014,2014-03-14,160
2014,2014-03-15,160
2014,2014-03-16,151
2014,2014-03-17,159
2014,2014-03-18,160
2014,2014-03-19,163
2014,2014-03-20,159
2014,2014-03-21,165
2014,2014-03-22,162
2014,2014-03-23,157
2014,2014-03-24,158
2014,2014-03-25,158
2014,2014-03-26,166
2014,2014-03-27,162
2014,2014-03-28,166
2014,2014-03-29,160
2014,2014-03-30,147
2014,2014-03-31,143
2014,2014-04-01,138
2014,2014-04-02,140
2014,2014-04-03,148
2014,2014-04-04,142
2014,2014-04-05,141
2014,2014-04-06,138
2014,2014-04-07,143
2014,2014-04-08,140
2014,2014-04-09,144
2014,2014-04-10,143
2014,2014-04-11,145
2014,2014-04-12,139
2014,2014-04-13,137
2014,2014-04-14,138
2014,2014-04-15,132
2014,2014-04-16,143
2014,2014-04-17,134
2014,2014-04-18,133
2014,2014-04-19,137
2014,2014-04-20,126
2014,2014-04-21,132
2014,2014-04-22,139
2014,2014-04-23,141
2014,2014-04-24,142
2014,2014-04-25,147
2014,2014-04-26,140
2014,2014-04-27,125
2014,2014-04-28,126
2014,2014-04-29,124
2014,2014-04-30,123
2014,2014-05-01,125
2014,2014-05-02,127
